StartTime,EndTime,Class,Observatory,PeakTime
2001-08-25 14:11:00,2001-08-25 14:26:00,C2.3,GOES,2001-08-25 14:18:00
2001-08-25 15:29:00,2001-08-25 15:37:00,C2.2,GOES,2001-08-25 15:33:00
2001-08-25 16:23:00,2001-08-25 17:04:00,X5.3,GOES,2001-08-25 16:45:00
2001-08-25 19:52:00,2001-08-25 19:59:00,M1.1,GOES,2001-08-25 19:56:00
2001-08-25 21:21:00,2001-08-25 21:30:00,C4.0,GOES,2001-08-25 21:26:00
2001-08-25 22:16:00,2001-08-25 22:25:00,C9.6,GOES,2001-08-25 22:23:00
2001-08-25 23:41:00,2001-08-25 23:49:00,C7.0,GOES,2001-08-25 23:45:00
2001-09-24 00:32:00,2001-09-24 00:37:00,C2.6,GOES,2001-09-24 00:35:00
2001-09-24 00:39:00,2001-09-24 00:46:00,C3.3,GOES,2001-09-24 00:42:00
2001-09-24 03:43:00,2001-09-24 03:56:00,C2.9,GOES,2001-09-24 03:48:00
2001-09-24 04:47:00,2001-09-24 04:55:00,C5.1,GOES,2001-09-24 04:51:00
2001-09-24 06:08:00,2001-09-24 06:20:00,C2.8,GOES,2001-09-24 06:13:00
2001-09-24 08:09:00,2001-09-24 08:17:00,C2.7,GOES,2001-09-24 08:12:00
2001-09-24 09:32:00,2001-09-24 11:09:00,X2.6,GOES,2001-09-24 10:38:00
2001-09-24 18:20:00,2001-09-24 18:43:00,C7.6,GOES,2001-09-24 18:36:00
2001-09-24 23:35:00,2001-09-25 00:18:00,C8.6,GOES,2001-09-25 00:05:00
2001-10-19 00:47:00,2001-10-19 01:13:00,X1.6,GOES,2001-10-19 01:05:00
2001-10-19 02:20:00,2001-10-19 02:46:00,M1.2,GOES,2001-10-19 02:32:00
2001-10-19 02:52:00,2001-10-19 03:03:00,M1.4,GOES,2001-10-19 02:58:00
2001-10-19 03:14:00,2001-10-19 03:18:00,M1.0,GOES,2001-10-19 03:16:00
2001-10-19 05:26:00,2001-10-19 05:36:00,C4.2,GOES,2001-10-19 05:29:00
2001-10-19 06:35:00,2001-10-19 06:53:00,M1.3,GOES,2001-10-19 06:45:00
2001-10-19 06:56:00,2001-10-19 07:04:00,C8.9,GOES,2001-10-19 07:00:00
2001-10-19 09:35:00,2001-10-19 09:55:00,M5.7,GOES,2001-10-19 09:43:00
2001-10-19 12:19:00,2001-10-19 12:42:00,C7.8,GOES,2001-10-19 12:33:00
2001-10-19 13:36:00,2001-10-19 13:44:00,C3.8,GOES,2001-10-19 13:40:00
2001-10-19 14:36:00,2001-10-19 15:06:00,C3.5,GOES,2001-10-19 14:53:00
2001-10-19 15:45:00,2001-10-19 15:51:00,C3.2,GOES,2001-10-19 15:48:00
2001-10-19 16:13:00,2001-10-19 16:43:00,X1.6,GOES,2001-10-19 16:30:00
2001-10-19 20:58:00,2001-10-19 21:08:00,C4.1,GOES,2001-10-19 21:03:00
2001-10-19 21:36:00,2001-10-19 22:09:00,C3.9,GOES,2001-10-19 22:02:00
2001-10-19 23:14:00,2001-10-19 23:33:00,M3.3,GOES,2001-10-19 23:25:00
